(-16.339,-0.00103516)
(-16.3379,0.00327445)
(-16.3391,0.00682276)
(-16.3387,0.00782979)
(-16.3408,0.00101183)
(-16.3343,-0.00196457)
(-16.3365,0.00118352)
(-16.337,0.000125261)
(-16.3363,-0.000257491)
(-16.3307,-0.0075198)
(-16.3396,-0.00152989)
(-16.3362,-0.00312209)
(-16.3322,0.00102)
(-16.3401,0.00490183)
(-16.345,-0.00318992)
(-16.3381,0.00223809)
(-16.3342,-0.00313689)
(-16.3433,-0.00665388)
(-16.3405,-0.00279262)
(-16.3318,-0.00314478)
(-16.3464,-0.00159938)
(-16.3348,0.000222111)
(-16.3377,-0.0048618)
(-16.3395,0.00195147)
(-16.3318,0.00116032)
(-16.3359,-0.00196382)
(-16.3401,0.0034633)
(-16.3437,-0.0040417)
(-16.3407,0.000803979)
(-16.3386,-0.00167585)
(-16.3352,-0.00090696)
(-16.3402,-0.00579036)
(-16.3336,0.0043009)
(-16.3382,-0.00214878)
(-16.3435,0.002883)
(-16.3347,-0.00128583)
(-16.3402,-0.00185519)
(-16.3468,0.000570925)
(-16.3327,0.00385979)
(-16.3344,-0.00131048)
(-16.3388,0.00649429)
(-16.3417,-0.00149983)
(-16.3336,-0.00158925)
(-16.3354,-0.003025)
(-16.3372,-0.00234672)
(-16.3365,0.000570474)
(-16.3331,0.00160855)
(-16.333,-0.00115789)
(-16.3406,-0.000728648)
(-16.3385,-0.00125938)
(-16.3342,0.00335971)
(-16.345,-0.0030668)
(-16.3394,-0.00124741)
(-16.3317,-0.000645406)
(-16.3376,0.00125696)
(-16.3462,0.00194984)
(-16.3294,0.00693933)
(-16.339,0.00190969)
(-16.3406,-0.002008)
(-16.3423,-0.00289887)
(-16.3453,-0.00133728)
(-16.3277,0.000312197)
(-16.3334,-0.00306222)
(-16.3398,0.00138486)
(-16.3454,0.00466479)
(-16.334,0.00345488)
(-16.3349,0.0010167)
(-16.348,0.000623511)
(-16.3371,-0.00109808)
(-16.3374,0.000345807)
(-16.3462,-0.00211637)
(-16.3391,0.000620346)
(-16.3483,-0.00148771)
(-16.3407,0.000510782)
(-16.3455,9.2763e-05)
(-16.3333,0.00165443)
(-16.3438,-0.00237182)
(-16.3347,-0.00191939)
(-16.3292,0.0041343)
(-16.3362,-0.000816666)
(-16.3477,0.00196846)
(-16.3427,0.00409973)
(-16.3383,0.00346712)
(-16.3489,-0.000869144)
(-16.3427,-0.00253419)
(-16.3361,-0.00291217)
(-16.3352,-0.00119441)
(-16.3422,-6.49765e-05)
(-16.3411,-0.00321202)
(-16.3458,-0.000983851)
(-16.3438,-0.000979838)
(-16.3295,-0.000887715)
(-16.3421,-0.00508542)
(-16.3327,-0.00114273)
(-16.334,-0.0033368)
(-16.3399,-0.00107192)
(-16.3403,-0.000747494)
(-16.3477,-0.00322757)
(-16.3344,0.00454802)
(-16.3377,-0.000513988)
(-16.3308,-0.00214311)
(-16.3378,0.00105403)
(-16.3462,0.0026826)
(-16.3366,-0.00200484)
(-16.3504,0.000761111)
(-16.3476,0.00544757)
(-16.3355,0.00364709)
(-16.3433,0.000424497)
(-16.3409,0.00448486)
(-16.3428,-0.00111551)
(-16.3395,0.00141421)
(-16.3438,0.00191693)
(-16.3363,-0.0022101)
(-16.341,0.00269242)
(-16.3428,0.00207636)
(-16.3429,-0.000437993)
(-16.3266,-0.0057157)
(-16.3471,-0.000263465)
(-16.3414,-0.0013114)
(-16.341,-0.0060069)
(-16.3457,0.00138134)
(-16.3323,0.00482065)
(-16.3325,-0.000250416)
(-16.3487,0.00425105)
(-16.3485,-0.00388817)
(-16.3451,0.00355743)
(-16.3423,-0.00184494)
(-16.3363,-0.0012787)
(-16.3478,0.00363314)
(-16.346,0.00160785)
(-16.343,0.00267098)
(-16.3452,0.00100374)
(-16.3518,0.00195256)
(-16.3537,0.00385397)
(-16.3488,0.00429407)
(-16.3351,-0.0022981)
(-16.339,-0.00144347)
(-16.3438,-0.00215883)
(-16.3433,-0.000681285)
(-16.3531,-0.000921171)
(-16.344,0.000342968)
(-16.3467,-0.000328847)
(-16.3385,-0.00147385)
(-16.3549,-0.00155571)
(-16.3424,0.00203466)
(-16.3487,0.00130899)
(-16.3444,-0.00370927)
(-16.3505,0.00260572)
(-16.3406,-0.00229471)
(-16.3445,0.00162689)
(-16.3346,-0.00449635)
(-16.3376,0.000139473)
(-16.3401,0.0012507)
(-16.342,0.000718334)
(-16.3463,-0.00522293)
(-16.3413,-0.00226088)
(-16.3418,0.000229917)
(-16.3405,-0.00224467)
(-16.3381,-0.00380162)
(-16.3438,2.98832e-05)
(-16.3392,-0.000949247)
(-16.3345,-0.0011301)
(-16.3399,0.000506004)
(-16.3434,-0.00430378)
(-16.3506,-0.00142066)
(-16.3442,-0.0039737)
(-16.3498,0.00230146)
(-16.3483,0.0014421)
(-16.345,-0.00113767)
(-16.3435,0.00553432)
(-16.3474,-0.00122326)
(-16.3363,0.0063619)
(-16.3488,-0.00149227)
(-16.3382,-5.1734e-05)
(-16.3405,0.00387889)
(-16.3519,0.00255221)
(-16.3377,-0.00301895)
(-16.3379,0.00751928)
(-16.3405,-0.00171912)
(-16.3463,-0.00231656)
(-16.3498,-0.000376249)
(-16.3455,0.0010985)
(-16.3406,-0.000584456)
(-16.3379,0.00206152)
(-16.3452,0.00156637)
(-16.3417,-0.000694003)
(-16.3491,-0.00176347)
(-16.3423,0.00148456)
(-16.3446,-0.00103577)
(-16.3492,0.00286387)
(-16.3523,0.00206329)
(-16.3378,-0.00407874)
(-16.3418,-0.00109442)
(-16.3394,0.000958801)
(-16.342,0.000913488)
(-16.3467,-0.0024542)
(-16.3411,6.94772e-05)
(-16.3391,0.00372767)
(-16.3529,0.00149286)
(-16.3396,-0.000601952)
(-16.3381,0.000159337)
(-16.3462,0.00561365)
(-16.3478,0.00354544)
(-16.3421,0.00186381)
(-16.3428,0.00169068)
(-16.3418,-0.00249894)
(-16.339,0.00166053)
(-16.3375,-0.00085259)
(-16.3507,0.00186642)
(-16.3395,0.000864088)
(-16.3455,-0.00513994)
(-16.3491,0.0035349)
(-16.3505,-0.000604282)
(-16.3451,-0.0046652)
(-16.3423,-0.00255295)
(-16.3481,0.00825605)
(-16.3412,0.00101424)
(-16.3526,-8.524e-05)
(-16.3436,-0.00337911)
(-16.3464,6.25068e-05)
(-16.3521,-0.00207042)
(-16.3421,-0.000945521)
(-16.3544,-0.000644877)
(-16.3484,0.000280856)
(-16.3447,0.0018762)
(-16.3501,-0.00245072)
(-16.3401,-0.00029669)
(-16.3378,0.000445828)
(-16.3399,0.00151616)
(-16.3443,0.004479)
(-16.3535,0.00109029)
(-16.343,0.00215253)
(-16.3388,0.000413577)
(-16.34,-0.00142011)
(-16.3424,0.00147745)
(-16.3455,0.00128626)
(-16.3455,0.00241185)
(-16.3484,0.000312134)
(-16.3505,0.00242102)
(-16.349,-0.00252569)
(-16.3501,0.00156986)
(-16.343,-0.00200858)
(-16.3437,0.00475947)
(-16.3496,-0.000726001)
