
(-16.75263060111090,-0.07691875648823)
(-16.47514729125597,-0.05217734759700)
(-16.40024156267214,0.04088085447848)
(-16.70585069882269,0.08407612507992)
(-16.47438087911345,0.04245989229165)
(-16.36959858149542,0.00402646149096)
(-16.12407164200925,-0.04516961330347)
(-16.42747230538357,-0.03277265674502)
(-16.35774807504011,0.02025819547529)
(-16.28612244511450,0.00822853598611)
(-16.20294080737954,-0.01511611760477)
(-16.43900069446472,-0.05015752555024)
(-16.21377174223227,0.01793349001738)
(-15.93213979621449,0.09977538630555)
(-16.13490806776128,0.09057480413948)
(-16.29653226273536,0.01178308124687)
(-16.42174851083977,-0.07102512403886)
(-16.41224719674716,-0.01789374382903)
(-16.09614248854760,0.06740154815296)
(-16.25736460660997,-0.00367323707348)
(-16.41069455494386,-0.01436918573019)
(-16.40729831456343,-0.01152433030563)
(-16.31542833397614,-0.00260915297623)
(-16.38460482442979,0.02207958470257)
(-16.38885435329237,0.05733164305255)
(-16.50527015856714,0.00491729986538)
(-16.34349321126417,-0.07117293537958)
(-16.24620436300413,-0.00298617193766)
(-16.09437142025164,-0.08893516124696)
(-16.33356858017112,0.05948040938632)
(-16.43132080993076,-0.00811577128134)
(-16.29574112797689,-0.01799528590132)
(-16.38677994297154,-0.04717728259825)
(-16.23529253852297,0.05047456035382)
(-16.27373169550980,-0.02343846387302)
(-16.30395186813238,0.00584854914189)
(-16.15619908678364,0.06610755249525)
(-16.33045907972641,-0.02204533025837)
(-17.02206231221933,-0.26135989932216)
(-16.52892798919972,0.05659673365195)
(-16.39934564140579,-0.15873051688527)
(-16.01239686752777,0.01437582845824)
(-17.20590668321779,-0.11142679177757)
(-16.10060601368879,-0.05291184875554)
(-15.82111822150723,-0.04506466024881)
(-16.23974557783693,-0.15210895854689)
(-16.37099709447848,0.03191334715647)
(-16.45948385472821,-0.01326977288510)
(-16.54143317370197,-0.04499009097082)
(-16.32441736521318,0.05703848323276)
(-16.16752484208952,0.01100971225988)
(-16.22662680428858,-0.01531209472524)
(-16.43128860095583,-0.04182966432193)
(-16.35337285920614,0.05613220525219)
(-16.37317331428459,0.09003255407008)
(-16.20362457557696,0.06053892499462)
(-16.37171967001878,-0.02112857631963)
(-16.39078154296064,-0.00110183604520)
(-16.37959496262385,0.02104717004921)
(-16.22895732004491,0.01602436458223)
(-16.97972984262470,-0.46893564982067)
(-16.87834265155414,0.05989369268820)
(-16.04127042121253,-0.06310505205535)
(-16.63696574322391,-0.01501897644892)
(-16.42614656124658,-0.02542393613796)
(-16.08809643138749,-0.02626573921114)
(-16.36951446473086,-0.04538333312111)
(-16.39872345267228,0.12077420564974)
(-16.32655790955467,0.03058719782449)
(-16.43767779728562,-0.10884942418926)
(-16.40087129592965,0.02735679520630)
(-16.25422383999821,-0.08012807840524)
(-16.37772727184103,-0.01733687688288)
(-16.20437034150154,-0.00373270186250)
(-16.43765673802964,0.05644538088086)
(-16.37403396508949,0.03400031068850)
(-16.58161082009471,-0.15884764288353)
(-16.41770707839618,0.04577125922905)
(-16.40485377848258,0.18571812488368)
(-15.96258655157751,-0.16185360008962)
(-16.14768548259936,0.02185955354281)
(-16.32410403561075,0.07803238641584)
(-16.45105426375017,0.02407783373585)
(-16.35908872678097,0.01259567155461)
(-16.21996059655837,-0.03439485779792)
(-15.87836989736362,-0.16429861329243)
(-16.31971729983825,0.00935850284770)
(-16.80083589118956,0.09043996644118)
(-16.18437661102593,0.02763990300414)
(-16.54860560061878,0.42527792860064)
(-16.23912798233014,0.06332148636295)
(-16.37169460442847,-0.02588907274834)
(-17.01248503533466,-0.11575364070586)
(-16.16729640165636,0.02617168170341)
(-15.98297577459566,0.11631004198138)
(-16.08965889350668,-0.04250150471816)
(-16.40412191898871,0.00672154045328)
(-16.57671239654243,-0.16145901386201)
(-16.29047565513499,0.07249492911320)
(-16.26655167177714,0.02845679377437)
(-16.24120342878291,0.00131782983933)
(-16.33459014625628,0.08052283415900)
(-16.23752186650635,-0.00607658041806)
(-16.71803643355629,0.01619437963270)
(-16.06558984666811,-0.23950195391063)
(-16.25837012273489,-0.06490476329836)
(-16.38325736236758,-0.14173259353418)
(-16.40228867217148,0.05372708113592)
(-16.36273523751322,-0.05334331893167)
(-16.37457254491581,0.11211411318811)
(-17.36003721237142,-0.35600225818712)
(-17.19837186979048,-0.20521986651505)
(-16.14560605878880,0.00348571338591)
(-16.64089159268635,0.01920175742223)
(-16.14575495570434,-0.48320649204283)
(-16.44856407230925,0.00015633811549)
(-16.44790669191690,-0.01936219941767)
(-16.56787807423325,0.06302679603660)
(-16.43141943168304,-0.02360222108561)
(-16.38393079249880,-0.04867002267942)
(-16.35503253756808,-0.03578236959776)
(-16.40125691264334,-0.12684934111951)
(-16.67923124154444,-0.18207645626035)
(-16.34345483984083,0.04299439139509)
(-16.05531074018246,0.03547248116456)
(-16.09296712120734,0.02767297996679)
(-16.71885704822744,0.00649996076339)
(-16.53012641728707,-0.04221094307961)
(-16.27192833970211,0.03533141941911)
(-16.46697717616872,0.05383465035997)
(-16.47685085737106,-0.17119177137095)
(-16.59339782550857,-0.14429710780752)
(-16.26289713619397,-0.03773476911294)
(-16.31150726640093,-0.01864133146060)
(-16.16116556820942,-0.12438344038301)
(-16.46643393978758,-0.06515782076476)
(-16.62659973114132,0.38649570602098)
(-16.33519718321359,-0.04834796973893)
(-16.30700944492203,-0.03287811136787)
(-16.26539696925813,-0.01624839575677)
(-16.29714941428390,0.11168759421204)
(-16.28492515773662,-0.02065623101029)
(-16.29374999935238,0.02976685146555)
(-16.15086450442251,-0.02075038661283)
(-16.34499977838358,0.12715345570970)
(-16.41555642954952,-0.01050176455071)
(-16.03775455186274,-0.05573823404918)
(-16.34760708936843,-0.04244901029323)
(-16.30425419456872,0.05101414185804)
(-16.27919107642401,0.06904264489425)
(-16.38409137417052,0.04552676017814)
(-16.35493775204804,0.03116899200656)
(-16.26903461904506,-0.02490911631805)
(-16.35525221693694,-0.00083073351011)
(-16.44010054593975,0.09433941383816)
(-16.24819905455484,-0.00739919212809)
(-16.26308464609551,0.00479293361365)
(-16.32318244832252,-0.06693821479095)
(-16.32009055984529,-0.00004216713305)
(-16.58242251268858,0.15001384702231)
(-16.91720356010534,0.75320052283246)
(-16.48225778818633,-0.05707820110307)
(-16.52727544173386,0.20798817856720)
(-16.37484480236999,-0.00592242381298)
(-16.15586687625427,-0.06635275638765)
(-16.20672535096105,-0.12403898148548)
(-16.36136479635286,-0.01164256963458)
(-16.40069210206494,-0.01450931419338)
(-16.49105350472857,-0.03479146584006)
(-16.72417774583447,0.03763373889601)
(-17.18211473877434,0.55293338948791)
(-16.23812708139315,0.05239454354778)
(-16.18253747958890,0.23235174719109)
(-16.36464198162462,0.00740713744735)
(-16.26553365776275,-0.03659994826014)
(-16.36769455295597,-0.06560039955035)
(-16.38487035564045,0.01311363961543)
(-16.21827922334995,-0.07486356540581)
(-16.50238635541180,-0.04096736524061)
(-16.28147898750967,-0.00610857608482)
(-16.40984588584140,0.05012666188354)
(-16.32702669004343,-0.02606395114799)
(-16.45795203230482,0.00585121815042)
(-16.63086125353389,0.11838771859718)
(-16.23972493979053,-0.14200424073235)
(-14.14599171743221,0.25195195769986)
(-15.69808359340474,0.18450923477422)
(-16.07792772263497,0.05232263310590)
(-16.23416837945546,-0.01019870850709)
(-16.11987685332134,-0.00093816651559)
(-16.11030896758099,-0.07268727568267)
(-16.42934369231616,0.01723231032135)
(-16.33243529998368,0.03405027788545)
(-16.35813194050895,0.02529784287113)
